10	-83.08	101.51	47.0	262.0	15.0	59.64735150948535	12.146230636788882	surfaceDep_10.h5	cairo
11	-83.07	108.4	10.0	246.0	15.0	57.84297568776337	19.24179627225055	surfaceDep_11.h5	cairo
12	-83.2	119.8	20.0	124.0	15.0	51.90621490853476	29.726971662051714	surfaceDep_12.h5	cairo
13	-82.85	131.72	29.0	280.0	15.0	46.94497062170728	41.85585757707357	surfaceDep_13.h5	cairo
14	-82.55	138.72	38.0	293.0	15.0	43.23509906610629	49.248130944603574	surfaceDep_14.h5	cairo
15	-82.17	149.87	29.0	241.0	15.0	34.57340520018273	59.57032358030191	surfaceDep_15.h5	cairo
16	-81.29	158.51	15.0	216.0	15.0	28.067851571418583	71.29084044409935	surfaceDep_16.h5	cairo
17	-80.62	164.61	13.0	312.0	15.0	21.897348521443313	79.5520742475016	surfaceDep_17.h5	cairo
18	-79.04	177.03	20.0	234.0	15.0	4.995267746408234	96.2796899453946	surfaceDep_18.h5	cairo
19	-77.51	180.34	15.0	220.0	15.0	-0.651961065126191	109.86582508741786	surfaceDep_19.h5	cairo
201	-70.325	98.853	0.0	0.0	15.0	171.0084856338292	26.635492747779953	surfaceDep_201.h5	alexandria
203	-71.333	102.017	0.0	0.0	15.0	160.60513160129463	34.18747246060221	surfaceDep_203.h5	alexandria
205	-72.337	105.36	0.0	0.0	15.0	149.8220856685935	41.155363399727314	surfaceDep_205.h5	alexandria
207	-73.064	109.57	0.0	0.0	15.0	140.37086457796693	49.901006743925485	surfaceDep_207.h5	alexandria
209	-73.824	113.87	0.0	0.0	15.0	130.12077466131447	57.58011056509547	surfaceDep_209.h5	alexandria
20	-76.72	181.93	4.0	144.0	15.0	-3.934214282505825	116.7507025811517	surfaceDep_20.h5	cairo
211	-74.138	118.6	0.0	0.0	15.0	122.5044778204923	66.79158776961732	surfaceDep_211.h5	alexandria
213	-74.72	123.54	0.0	0.0	15.0	112.03068910392757	74.26400914892018	surfaceDep_213.h5	alexandria
215	-75.178	128.82	0.0	0.0	15.0	101.58241848784292	81.7327714116762	surfaceDep_215.h5	alexandria
217	-75.631	134.28	0.0	0.0	15.0	90.4917572556532	88.24556821990633	surfaceDep_217.h5	alexandria
219	-75.924	140.05	0.0	0.0	15.0	79.50647770730535	94.92021776797523	surfaceDep_219.h5	alexandria
21	-76.17	187.33	10.0	107.0	15.0	-15.521231531918597	120.66085764726745	surfaceDep_21.h5	cairo
