10	-83.08	101.51	47.0	262.0	15.0	59.64735150948535	12.146230636788882	surfaceDep_10.h5
11	-83.07	108.4	10.0	246.0	15.0	57.84297568776337	19.24179627225055	surfaceDep_11.h5
12	-83.2	119.8	20.0	124.0	15.0	51.90621490853476	29.726971662051714	surfaceDep_12.h5
13	-82.85	131.72	29.0	280.0	15.0	46.94497062170728	41.85585757707357	surfaceDep_13.h5
14	-82.55	138.72	38.0	293.0	15.0	43.23509906610629	49.248130944603574	surfaceDep_14.h5
15	-82.17	149.87	29.0	241.0	15.0	34.57340520018273	59.57032358030191	surfaceDep_15.h5
16	-81.29	158.51	15.0	216.0	15.0	28.067851571418583	71.29084044409935	surfaceDep_16.h5
17	-80.62	164.61	13.0	312.0	15.0	21.897348521443313	79.5520742475016	surfaceDep_17.h5
18	-79.04	177.03	20.0	234.0	15.0	4.995267746408234	96.2796899453946	surfaceDep_18.h5
19	-77.51	180.34	15.0	220.0	15.0	-0.651961065126191	109.86582508741786	surfaceDep_19.h5
201	-70.325	98.853	0.0	0.0	15.0	171.0084856338292	26.635492747779953	surfaceDep_201.h5
203	-71.333	102.017	0.0	0.0	15.0	160.60513160129463	34.18747246060221	surfaceDep_203.h5
205	-72.337	105.36	0.0	0.0	15.0	149.8220856685935	41.155363399727314	surfaceDep_205.h5
207	-73.064	109.57	0.0	0.0	15.0	140.37086457796693	49.901006743925485	surfaceDep_207.h5
209	-73.824	113.87	0.0	0.0	15.0	130.12077466131447	57.58011056509547	surfaceDep_209.h5
20	-76.72	181.93	4.0	144.0	15.0	-3.934214282505825	116.7507025811517	surfaceDep_20.h5
211	-74.138	118.6	0.0	0.0	15.0	122.5044778204923	66.79158776961732	surfaceDep_211.h5
213	-74.72	123.54	0.0	0.0	15.0	112.03068910392757	74.26400914892018	surfaceDep_213.h5
215	-75.178	128.82	0.0	0.0	15.0	101.58241848784292	81.7327714116762	surfaceDep_215.h5
217	-75.631	134.28	0.0	0.0	15.0	90.4917572556532	88.24556821990633	surfaceDep_217.h5
219	-75.924	140.05	0.0	0.0	15.0	79.50647770730535	94.92021776797523	surfaceDep_219.h5
21	-76.17	187.33	10.0	107.0	15.0	-15.521231531918597	120.66085764726745	surfaceDep_21.h5
221	-75.763	145.92	0.0	0.0	15.0	70.17553154030313	103.72679132867458	surfaceDep_221.h5
223	-75.258	151.28	0.0	0.0	15.0	62.31382011986091	113.72427088471456	surfaceDep_223.h5
225	-74.833	156.61	0.0	0.0	15.0	52.96448249227378	122.45229921976963	surfaceDep_225.h5
227	-73.917	160.75	0.0	0.0	15.0	46.64246477019276	133.56354283730894	surfaceDep_227.h5
229	-73.047	164.58	0.0	0.0	15.0	39.65159687913033	143.75825118617942	surfaceDep_229.h5
22	-72.59	183.89	8.0	97.0	15.0	-10.389636000550633	152.79356173167525	surfaceDep_22.h5
231	-72.627	169.26	0.0	0.0	15.0	28.47857418963734	150.1439245788312	surfaceDep_231.h5
233	-71.997	173.5	0.0	0.0	15.0	17.92715799488984	157.3446669520377	surfaceDep_233.h5
235	-71.253	177.43	0.0	0.0	15.0	7.394439082051526	164.74137272558897	surfaceDep_235.h5
237	-70.33	180.66	0.0	0.0	15.0	-1.9930949742433524	173.0148612447673	surfaceDep_237.h5
238	-74.295	123.99	0.0	4.0	15.0	114.54371170235731	77.23161073806541	surfaceDep_238.h5
23	-72.81	203.42	3.0	15.0	15.0	-60.101629939441025	138.7537700692488	surfaceDep_23.h5
240	-73.412	129.35	0.0	4.0	15.0	112.8347003786162	92.51868069221538	surfaceDep_240.h5
242	-72.534	134.45	0.0	4.0	15.0	109.67702588170599	107.59130720826978	surfaceDep_242.h5
244	-72.045	139.89	0.0	4.0	15.0	101.754273158654	120.79425530842434	surfaceDep_244.h5
246	-71.76	145.39	0.0	4.0	15.0	91.13209743707466	132.05419104551078	surfaceDep_246.h5
248	-71.499	150.83	0.0	4.0	15.0	79.32148724349487	142.10376650221986	surfaceDep_248.h5
24	-71.51	204.5	8.0	72.0	15.0	-67.44841850448448	148.00202711813876	surfaceDep_24.h5
250	-70.617	155.41	0.0	4.0	15.0	70.94956962357043	155.03877874581633	surfaceDep_250.h5
252	-69.911	160.09	0.0	4.0	15.0	60.17819552440471	166.14972772582587	surfaceDep_252.h5
254	-69.21	164.64	0.0	4.0	15.0	48.44136941894825	176.3460880501714	surfaceDep_254.h5
255	-71.192	38.332	0.0	1.0	15.0	102.61109870649383	-129.77909090930095	surfaceDep_255.h5
257	-72.644	39.725	0.0	1.0	15.0	97.57280195174728	-117.42272748863786	surfaceDep_257.h5
259	-74.133	39.844	0.0	1.0	15.0	89.42460608656134	-107.16329571957323	surfaceDep_259.h5
25	-75.3	36.81	6.0	344.0	15.0	77.47656967119663	-103.5273928937362	surfaceDep_25.h5
261	-75.635	39.504	0.0	1.0	15.0	80.38236499614645	-97.49773473340304	surfaceDep_261.h5
263	-77.12	38.512	0.0	1.0	15.0	70.54846654059773	-88.65345600110072	surfaceDep_263.h5
265	-78.591	36.859	0.0	1.0	15.0	60.199993317972286	-80.2984722065955	surfaceDep_265.h5
267	-80.067	35.303	0.0	1.0	15.0	50.49417146979766	-71.30755686765394	surfaceDep_267.h5
269	-81.468	31.844	0.0	1.0	15.0	39.597725347593624	-63.75522335158973	surfaceDep_269.h5
26	-75.99	36.25	8.0	85.0	15.0	72.87206336029261	-99.3849556696866	surfaceDep_26.h5
271	-82.867	27.564	0.0	1.0	15.0	29.034645294988266	-55.623252142527086	surfaceDep_271.h5
