0,273
0.0509855148,264.2857142857
0.0763798363,259.1836734694
0.1024798068,255.612244898
0.1426445946,251.5306122449
0.1961341382,246.4285714286
0.2696814433,241.3265306122
0.3800031827,234.693877551
0.5354555252,227.5510204082
0.7732107303,218.8775510204
1.0374267613,211.7346938776
1.4090816855,204.0816326531
1.9374657886,195.4081632653
2.5678784822,188.2653061224
3.3210590356,181.1224489796
4.9751767085,170.4081632653
6.5939998992,163.2653061224
9.1783783772,154.5918367347
12.3147480775,146.9387755102
17.7827941004,138.7755102041
25.6787848218,129.5918367347
39.9083552765,119.8979591837
56.234132519,113.7755102041
79.2384862332,107.6530612245
111.6534997389,101.5306122449
155.4137220803,96.9387755102
205.9822450115,92.8571428571
328.063147142,87.2448979592
491.4613414182,84.693877551
727.280808681,81.6326530612
